driver_code,meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,clean
NOR,1290,11334,1,43,2026-07-19T14:25:20.979000+00:00,31.031,49.017,29.129,315.0,206,False,109.177,"[None, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",309.0,True
NOR,1290,11334,1,44,2026-07-19T14:27:10.092000+00:00,30.922,49.362,28.606,318.0,204,False,108.89,"[None, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2048, 2048]",308.0,True
VER,1290,11334,3,1,2026-07-19T13:03:52.073000+00:00,34.345,51.029,40.391,299.0,194,False,125.765,"[2048, 2049, 2051, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",288.0,False
VER,1290,11334,3,2,2026-07-19T13:05:57.837000+00:00,45.495,78.753,42.436,185.0,67,False,166.684,"[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2048, 2049]",240.0,False
VER,1290,11334,3,3,2026-07-19T13:08:44.448000+00:00,43.061,73.679,43.737,203.0,147,False,160.477,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048]",,False
VER,1290,11334,3,4,2026-07-19T13:11:25.069000+00:00,41.711,72.078,49.115,247.0,142,False,162.904,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2049]",269.0,False
VER,1290,11334,3,5,2026-07-19T13:14:07.893000+00:00,31.396,50.173,29.732,317.0,200,False,111.301,"[None, 2049, 2048, 2048, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",288.0,True
VER,1290,11334,3,6,2026-07-19T13:15:59.298000+00:00,31.078,49.712,29.797,320.0,198,False,110.587,"[None, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2051, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049, 2048, 2049]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048]",293.0,True
VER,1290,11334,3,7,2026-07-19T13:17:49.689000+00:00,31.476,49.951,29.701,315.0,194,False,111.128,"[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2049, 2049, 2049, 2048, 2048, 2049, 2048, 2048]",289.0,True
VER,1290,11334,3,8,2026-07-19T13:19:40.964000+00:00,31.569,49.831,29.633,314.0,197,False,111.033,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",287.0,True
